policy,topology,fct_us,cdf
spray_dual_table,Zcube,1132.742,0.033218876008064516
spray_dual_table,Zcube,1132.742,0.033423639112903226
spray_dual_table,Zcube,1132.742,0.03362840221774194
spray_dual_table,Zcube,1132.742,0.03381741431451613
spray_dual_table,Zcube,1132.742,0.034022177419354836
spray_dual_table,Zcube,1132.742,0.03422694052419355
spray_dual_table,Zcube,1132.742,0.03441595262096774
spray_dual_table,Zcube,1132.742,0.03462071572580645
spray_dual_table,Zcube,1132.742,0.034825478830645164
spray_dual_table,Zcube,1132.742,0.03501449092741935
spray_dual_table,Zcube,1132.742,0.03521925403225806
spray_dual_table,Zcube,1132.742,0.035424017137096774
spray_dual_table,Zcube,1132.742,0.035628780241935484
spray_dual_table,Zcube,1132.742,0.03581779233870968
spray_dual_table,Zcube,1132.742,0.03602255544354839
spray_dual_table,Zcube,1132.742,0.036227318548387094
spray_dual_table,Zcube,1132.742,0.03641633064516129
spray_dual_table,Zcube,1132.742,0.03662109375
spray_dual_table,Zcube,1132.742,0.03682585685483871
spray_dual_table,Zcube,1132.742,0.037014868951612906
spray_dual_table,Zcube,1132.742,0.03721963205645161
spray_dual_table,Zcube,1132.742,0.03742439516129032
spray_dual_table,Zcube,1132.742,0.03762915826612903
spray_dual_table,Zcube,1132.742,0.037818170362903226
spray_dual_table,Zcube,1132.742,0.03802293346774194
spray_dual_table,Zcube,1132.742,0.03822769657258065
spray_dual_table,Zcube,1132.742,0.038416708669354836
spray_dual_table,Zcube,1132.742,0.03862147177419355
spray_dual_table,Zcube,1132.742,0.03882623487903226
spray_dual_table,Zcube,1132.742,0.03901524697580645
spray_dual_table,Zcube,1132.742,0.039220010080645164
spray_dual_table,Zcube,1132.742,0.03942477318548387
spray_dual_table,Zcube,1132.742,0.03962953629032258
spray_dual_table,Zcube,1132.742,0.039818548387096774
spray_dual_table,Zcube,1132.742,0.040023311491935484
spray_dual_table,Zcube,1132.742,0.040228074596774195
spray_dual_table,Zcube,1132.742,0.04041708669354839
spray_dual_table,Zcube,1132.742,0.040621849798387094
spray_dual_table,Zcube,1132.742,0.040826612903225805
spray_dual_table,Zcube,1132.742,0.041015625
spray_dual_table,Zcube,1132.742,0.04122038810483871
spray_dual_table,Zcube,1132.742,0.04142515120967742
spray_dual_table,Zcube,1132.742,0.04162991431451613
spray_dual_table,Zcube,1132.742,0.04181892641129032
spray_dual_table,Zcube,1132.742,0.04202368951612903
spray_dual_table,Zcube,1132.742,0.04222845262096774
spray_dual_table,Zcube,1132.742,0.04241746471774194
spray_dual_table,Zcube,1132.742,0.04262222782258065
spray_dual_table,Zcube,1132.742,0.04282699092741935
spray_dual_table,Zcube,1132.742,0.04301600302419355
spray_dual_table,Zcube,1132.742,0.04322076612903226
spray_dual_table,Zcube,1132.742,0.04342552923387097
spray_dual_table,Zcube,1132.742,0.04363029233870968
spray_dual_table,Zcube,1132.742,0.04381930443548387
spray_dual_table,Zcube,1132.742,0.04402406754032258
spray_dual_table,Zcube,1132.742,0.04422883064516129
spray_dual_table,Zcube,1132.742,0.044417842741935484
spray_dual_table,Zcube,1132.742,0.044622605846774195
spray_dual_table,Zcube,1132.742,0.044827368951612906
spray_dual_table,Zcube,1132.742,0.045016381048387094
spray_dual_table,Zcube,1132.742,0.045221144153225805
spray_dual_table,Zcube,1132.742,0.045425907258064516
spray_dual_table,Zcube,1132.742,0.045630670362903226
spray_dual_table,Zcube,1132.742,0.04581968245967742
spray_dual_table,Zcube,1132.742,0.04602444556451613
spray_dual_table,Zcube,1132.742,0.046229208669354836
spray_dual_table,Zcube,1132.742,0.04641822076612903
spray_dual_table,Zcube,1132.742,0.04662298387096774
spray_dual_table,Zcube,1132.742,0.04682774697580645
spray_dual_table,Zcube,1132.742,0.04701675907258065
spray_dual_table,Zcube,1132.742,0.04722152217741935
spray_dual_table,Zcube,1132.742,0.04742628528225806
spray_dual_table,Zcube,1132.742,0.047631048387096774
spray_dual_table,Zcube,1132.742,0.04782006048387097
spray_dual_table,Zcube,1132.742,0.04802482358870968
spray_dual_table,Zcube,1132.742,0.04822958669354839
spray_dual_table,Zcube,1132.742,0.04841859879032258
spray_dual_table,Zcube,1132.742,0.04862336189516129
spray_dual_table,Zcube,1132.742,0.048828125
spray_dual_table,Zcube,1132.742,0.049017137096774195
spray_dual_table,Zcube,1132.742,0.049221900201612906
spray_dual_table,Zcube,1132.742,0.04942666330645161
spray_dual_table,Zcube,1132.742,0.04963142641129032
spray_dual_table,Zcube,1132.742,0.049820438508064516
spray_dual_table,Zcube,1132.742,0.050025201612903226
spray_dual_table,Zcube,1132.742,0.05022996471774194
spray_dual_table,Zcube,1132.742,0.05041897681451613
spray_dual_table,Zcube,1132.742,0.050623739919354836
spray_dual_table,Zcube,1132.742,0.05082850302419355
